locus_tag	logFC_M90T_37vs30	FDR_M90T_37vs30	logFC_enr37vs30	FDR_enr37vs30	gene_name	seq	description	type
EKN05_024045	5.06989197142483	7.74739613414799e-11	-0.393900039149869	1.31443596760528e-05	ospB	CP037924.1	OspB	CDS
EKN05_011710	-3.79409670922863	8.37499403483284e-11	-0.0907754923245602	0.492218489002425	ompF	CP037923.1	porin OmpF	CDS
EKN05_014960	-2.94425363905617	9.11601356105085e-11	-0.900927303291577	1.83289606593543e-07	betA	CP037923.1	choline dehydrogenase	CDS
EKN05_024065	5.612322271493	9.33313395397186e-11	-0.252102369672237	0.15260704840384	tnpC	CP037924.1	conjugal transfer protein TraI	pseudo
EKN05_021775	-3.61045837372109	9.94911976412204e-11	-1.17946254274463	2.19339135721397e-07	ugpE	CP037923.1	sn-glycerol-3-phosphate ABC transporter permease UgpE	CDS
EKN05_011190	-3.84914664658259	1.06051489795139e-10	0.313346623565781	0.0374548223707049	pgaD	CP037923.1	poly-beta-1	CDS
EKN05_018200	-3.37790701313716	1.09398333618613e-10	1.07849655060748	0.000493851456368571	EKN05_018200	CP037923.1	DUF485 domain-containing protein	CDS
EKN05_024650	4.98311417026631	1.09823126290828e-10	-0.0292337594126861	0.682186284922041	spa33	CP037924.1	surface presentation of antigens protein SpaO	CDS
EKN05_021305	-2.25240823019981	1.09823126290828e-10	0.168028731375904	0.0948798131331039	dppA	CP037923.1	dipeptide ABC transporter substrate-binding protein DppA	CDS
EKN05_007340	4.05874102948745	1.1098192028479e-10	1.10525718663301	1.09206625898722e-10	fdnG	CP037923.1	formate dehydrogenase-N subunit alpha	CDS
EKN05_000620	2.70574813764818	1.20226799057152e-10	0.503023740798897	1.4951908847213e-06	ansB	CP037923.1	L-asparaginase 2	CDS
EKN05_013420	-4.4261850258768	1.20226799057152e-10	-0.7970331653767	0.204425823339496	sdhD	CP037923.1	succinate dehydrogenase membrane anchor subunit	CDS
EKN05_024795	5.01128236759676	1.23937444741707e-10	-0.800784544424546	1.89099535742262e-08	acp	CP037924.1	acyl carrier protein	CDS
EKN05_014955	-3.43417898537993	1.23937444741707e-10	-0.210234895916263	0.243026209713062	betB	CP037923.1	betaine-aldehyde dehydrogenase	pseudo
EKN05_020975	-2.27638014486642	1.36626533266005e-10	0.33489872187889	0.000146872542090289	fdnG	CP037923.1	formate dehydrogenase-N subunit alpha	CDS
EKN05_023795	2.53168329845826	1.4332165138153e-10	0.562938370333117	1.04299939605746e-05	pWR501_0049	CP037924.1	IS3 family transposase	pseudo
EKN05_023915	3.45975274684727	1.4332165138153e-10	0.677380966548476	7.89878879844759e-09	pWR501_0031	CP037924.1	hypothetical protein	CDS
EKN05_021390	4.88768613671286	1.4332165138153e-10	-0.413528742726342	0.0211100347230797	EKN05_021390	CP037923.1	hypothetical protein	CDS
EKN05_024775	4.49421214827505	1.4332165138153e-10	-0.968931654231542	2.01534918981927e-20	ipaB	CP037924.1	type III secretion system needle tip complex protein SipB	CDS
EKN05_007415	3.74299552148899	1.4701434124955e-10	0.559838999846632	1.66817862215608e-05	gadC	CP037923.1	glutamate:gamma-aminobutyrate antiporter	CDS
EKN05_010125	2.70650770519641	1.56799194177135e-10	NA	NA	prfA	CP037923.1	peptide chain release factor 1	CDS
EKN05_000455	2.26967479834741	1.74497445487988e-10	-0.220064898783536	0.102729694777515	hybO	CP037923.1	hydrogenase 2 small subunit	CDS
EKN05_024750	5.52785621787396	1.79170923361045e-10	-0.0847386079483019	0.495236245538364	pWR501_0141	CP037924.1	hypothetical protein	CDS
EKN05_024715	4.92841099493715	1.84343947917976e-10	-0.0307408388387245	0.602202901321662	mxiJ	CP037924.1	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein	CDS
EKN05_014950	-2.83519901904288	1.85490239791829e-10	-1.14257712395544	0.00388266127886877	betI	CP037923.1	transcriptional regulator BetI	CDS
EKN05_019935	-2.62125346113922	1.89882878086037e-10	0.0936370851772778	0.0821606523296643	tnaB	CP037923.1	low affinity tryptophan permease TnaB	CDS
EKN05_013590	-2.04256993004619	2.05085849534439e-10	0.956546118626904	4.62519642169938e-07	galT	CP037923.1	galactose-1-phosphate uridylyltransferase	CDS
EKN05_016135	-2.42724862508295	2.07933969563305e-10	0.530258368731074	0.541630820467203	acnB	CP037923.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	CDS
EKN05_024005	4.81143487424757	2.1066851984478e-10	-0.459033490428764	2.31179331869739e-08	ospD2	CP037924.1	ShET2/EspL2 family type III secretion system effector toxin	CDS
EKN05_021875	-2.53541637842529	2.10775499140465e-10	-1.5877621922935	6.10899172496483e-06	glpD	CP037923.1	glycerol-3-phosphate dehydrogenase	CDS
EKN05_023895	2.54807482682757	2.10775499140465e-10	0.446156611179535	1.46296737826611e-05	pWR501_0033	CP037924.1	IS3 family transposase	pseudo
EKN05_004270	2.52963183347847	2.27987147842483e-10	-0.796084683897468	0.00512886814683956	glpB	CP037923.1	glycerol-3-phosphate dehydrogenase subunit GlpB	CDS
EKN05_024000	5.57635096597566	2.36961621393165e-10	-0.0577794652217115	0.259357707796796	ospF	CP037924.1	type III secretion system effector phosphothreonine lyase	CDS
EKN05_009630	-4.68636145794722	2.36961621393165e-10	0.243614423825739	0.209813140308462	ordL	CP037923.1	FAD-binding oxidoreductase	CDS
EKN05_024060	3.81046177680111	2.47994959011816e-10	0.325185948768713	0.0436031042901105	pWR501_0001	CP037924.1	IS3 family transposase	pseudo
EKN05_023985	3.90372013040076	2.73120900713683e-10	-0.285726342182851	0.000264347737856172	orf13	CP037924.1	hypothetical protein	CDS
EKN05_024660	4.44368953702153	2.86904470690909e-10	0.165291179647625	0.0616970749908773	spa13	CP037924.1	surface presentation of antigens protein SpaM	CDS
EKN05_024655	4.8976183191949	3.24064531063561e-10	-0.486758685739458	1.90771671481031e-07	spa32	CP037924.1	surface presentation of antigens protein SpaN	CDS
EKN05_007980	-2.21988660057964	3.44467139890993e-10	0.109939948663104	0.564182226953639	fumC	CP037923.1	class II fumarate hydratase	CDS
EKN05_013405	-3.42719728810354	3.44467139890993e-10	0.0557091353215366	0.798715705108469	gltA	CP037923.1	citrate (Si)-synthase	CDS
EKN05_013095	-3.44581209232674	3.78289490475956e-10	-1.55588112891296	5.3242938306464e-05	gltL	CP037923.1	glutamate/aspartate ABC transporter ATP binding protein GltL	CDS
EKN05_004445	3.92788624922914	4.19154653965329e-10	0.12415805590135	0.590880465733638	napF	CP037923.1	ferredoxin-type protein NapF	CDS
EKN05_018995	2.31364336882294	4.38819097921652e-10	-0.476337402423968	2.37087278350754e-05	yhiV	CP037923.1	efflux RND transporter permease subunit	CDS
EKN05_023280	3.5078543495132	4.44984377451138e-10	0.509418662293566	1.48367907880529e-08	tdcB	CP037923.1	bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB	CDS
EKN05_007150	-2.59063748771558	4.62264240379465e-10	-0.771965431979485	0.00011585373792227	EKN05_007150	CP037923.1	LysR family transcriptional regulator	CDS
EKN05_023720	4.26488190092014	4.67251769096554e-10	-0.152347744737262	0.575382656468361	pWR501_0065	CP037924.1	hypothetical protein	CDS
EKN05_024720	4.82960969037014	4.67251769096554e-10	-0.249703875313216	0.0413462534633938	mxiI	CP037924.1	protein MxiI	CDS
EKN05_024825	3.66225822760594	4.67251769096554e-10	-0.387337819545985	0.00452484434179288	EKN05_024825	CP037924.1	IS3 family transposase	pseudo
EKN05_013435	-2.61201539818438	4.67251769096554e-10	4.38095748616408	0.0196231860597347	sucA	CP037923.1	2-oxoglutarate dehydrogenase E1 component	CDS
EKN05_009640	-4.06107368285722	4.67251769096554e-10	0.489632421515129	0.00285662061438869	puuR	CP037923.1	HTH-type transcriptional regulator PuuR	CDS
EKN05_013765	-2.850311414802	5.15724401233909e-10	0.170530440355635	0.133181388799347	cstA	CP037923.1	carbon starvation protein CstA	CDS
EKN05_003655	2.39726042936159	5.41866078247045e-10	-0.0973744996002179	0.590201826384074	lpxP	CP037923.1	kdo(2)-lipid IV(A) palmitoleoyltransferase	CDS
EKN05_024785	4.71801762377127	5.52111155038276e-10	-1.28533626733597	2.86679428062756e-17	ipaD	CP037924.1	type III secretion system needle tip complex protein IpaD	CDS
EKN05_024620	3.38935202065148	5.53342714073945e-10	-0.623359630900108	4.04840655696009e-06	pWR501_0168	CP037924.1	IS3-like element ISSfl11 family transposase	pseudo
EKN05_011365	3.76198779530792	5.75556943431932e-10	0.415330391809519	0.00535980553344382	cspG	CP037923.1	cold shock protein CspG	CDS
EKN05_021385	2.78893875178318	5.75556943431932e-10	0.857647205883455	3.08526086870366e-09	EKN05_021385	CP037923.1	efflux RND transporter periplasmic adaptor subunit	CDS
EKN05_021770	-4.72973743299068	5.90649781544078e-10	0.399976990725438	0.0173405010522544	ugpA	CP037923.1	sn-glycerol-3-phosphate ABC transporter permease UgpA	CDS
EKN05_021640	4.0220475536197	5.97039594882924e-10	0.24783797031463	0.0918755764983865	nikC	CP037923.1	nickel ABC transporter permease subunit NikC	CDS
EKN05_024565	2.82065617103434	6.23049110634464e-10	0.579485192517367	1.42103653523217e-06	pWR501_0178	CP037924.1	IS110 family transposase	pseudo
EKN05_004275	1.94024171181183	6.58631191627925e-10	-0.230852957894516	0.161951350379825	glpA	CP037923.1	anaerobic glycerol-3-phosphate dehydrogenase subunit A	CDS
EKN05_004470	4.6136441657552	6.69194093176385e-10	0.267349073536288	0.433853206201494	napB	CP037923.1	nitrate reductase cytochrome c-type subunit	CDS
EKN05_023935	4.21794354562856	6.76503831075536e-10	-0.116627643848977	0.24554818458506	pWR501_0028	CP037924.1	IS256 family transposase	pseudo
EKN05_022745	-2.9011109627335	7.12905763065516e-10	-0.677758625000062	0.0420401809498214	yhcN	CP037923.1	peroxide/acid stress response protein YhcN	CDS
EKN05_009660	-2.45013627663897	7.33999045361569e-10	-0.266205390019055	0.12920954103249	puuP	CP037923.1	putrescine/proton symporter PuuP	CDS
EKN05_003780	-3.53952429623899	7.58536722156132e-10	0.640064868141222	3.26350213683092e-08	fadL	CP037923.1	long-chain fatty acid transporter FadL	CDS
EKN05_024700	5.39165552512699	7.65812403329827e-10	0.168081854883649	0.157930804528281	mxiL	CP037924.1	Mxi-Spa secretion machinery protein MxiL	CDS
EKN05_024835	4.1928632675078	7.76876736990925e-10	-0.507977994510774	1.86618500479771e-07	EKN05_024835	CP037924.1	hypothetical protein	CDS
EKN05_017500	-2.39338300693598	8.07648914262536e-10	-0.608651049072044	0.000927425314278816	cycA	CP037923.1	D-serine/D-alanine/glycine transporter	CDS
EKN05_019285	-2.54826516172375	8.07648914262536e-10	0.725720977196364	0.00516497537776513	lldR	CP037923.1	transcriptional regulator LldR	CDS
EKN05_004745	-3.9551844480786	8.57400558257867e-10	-1.10221518807545	1.79760951639424e-08	mglC	CP037923.1	galactoside ABC transporter permease	CDS
EKN05_024780	4.80486459217695	9.77471092406034e-10	-0.35118924904582	2.64671596208053e-08	ipaC	CP037924.1	IpaC/SipC family type III secretion system effector	CDS
EKN05_016820	3.40991491467978	9.87451026879231e-10	0.601744113479252	7.41617824494193e-05	yjjW	CP037923.1	YjjW family glycine radical enzyme activase	CDS
EKN05_024710	5.15662371542997	1.0113780105045e-09	0.161622954247142	0.0416078319124184	mxiK	CP037924.1	type III secretion apparatus protein OrgA/MxiK	CDS
EKN05_024755	5.36220835526445	1.18761454638966e-09	-0.241923854804701	7.42337635515406e-07	icsB	CP037924.1	Virulence protein IcsB	CDS
EKN05_024010	3.01865357332195	1.22025633174647e-09	0.308005668611932	0.00732310359773408	pWR501_0011	CP037924.1	helicase	CDS
EKN05_004465	4.43097088110404	1.2998679069419e-09	-0.654626735197114	0.00160509032606706	napH	CP037923.1	quinol dehydrogenase ferredoxin subunit NapH	CDS
EKN05_024580	2.7048511389615	1.40150753994559e-09	0.2480066308202	0.0240505040774595	pWR501_0176	CP037924.1	hypothetical protein	CDS
EKN05_010715	1.98825602575685	1.44112965298648e-09	-0.742486424164559	0.00948749551483935	ptsG	CP037923.1	PTS glucose transporter subunit IIBC	CDS
EKN05_007335	3.01127245557524	1.50421516394815e-09	-0.0872099005954247	0.658495694205425	EKN05_007335	CP037923.1	sulfate ABC transporter substrate-binding protein	CDS
EKN05_024670	4.45738257506133	1.55551725423956e-09	-0.306610469065574	0.00013804824682004	spa15	CP037924.1	surface presentation of antigens protein SpaK	CDS
EKN05_011760	2.38297584174879	1.55551725423956e-09	-1.0008805556654	0.0117284438799233	elyC	CP037923.1	envelope biogenesis factor ElyC	CDS
EKN05_021650	2.88990887620749	1.5787758029409e-09	-0.133463811668102	0.330392351688329	nikA	CP037923.1	nickel ABC transporter	CDS
EKN05_021175	-2.9027882796921	1.64303422112622e-09	-1.03493478446825	1.79216659042619e-07	dctA	CP037923.1	dicarboxylate/amino acid:cation symporter	CDS
EKN05_023275	3.31912320371343	1.64619515390149e-09	-0.607407134370211	1.3998350706881e-06	tdcA	CP037923.1	transcriptional regulator TdcA	CDS
EKN05_021380	4.11856020469024	1.64619515390149e-09	NA	NA	EKN05_021380	CP037923.1	IS1 family transposase	pseudo
EKN05_023705	3.72164727933395	1.71055496365743e-09	-0.11748565220066	0.652868709348853	insB	CP037924.1	IS1 family transposase	pseudo
EKN05_011605	1.8873856081931	1.7812069297539e-09	0.0949345121704871	0.401091424489407	pyrD	CP037923.1	quinone-dependent dihydroorotate dehydrogenase	CDS
EKN05_007975	-2.27119982865493	1.80929127321909e-09	-1.36069324903377	2.35438048570685e-05	fumA	CP037923.1	fumarate hydratase	CDS
EKN05_021395	5.00957250190423	1.82895444726282e-09	-2.11005094969625	1.05305510763434e-10	gadE	CP037923.1	acid resistance transcriptional activator GadE	CDS
EKN05_012185	-2.46928709587671	1.88163917292572e-09	-1.11193637926112	7.08438252480175e-08	potF	CP037923.1	spermidine/putrescine ABC transporter substrate-binding protein PotF	CDS
EKN05_008770	-2.52340846372122	1.89141032171268e-09	-0.637493314162419	0.00611714117685909	astB	CP037923.1	N-succinylarginine dihydrolase	pseudo
EKN05_017510	-2.00115512626571	2.00553118354279e-09	1.09567494576048	7.33781350206503e-09	ytfF	CP037923.1	DMT family transporter	CDS
EKN05_023900	2.77892502647588	2.00553118354279e-09	0.12689756795352	0.229883870895655	EKN05_023900	CP037924.1	transposase domain-containing protein	pseudo
EKN05_002540	-2.6759689481479	2.00553118354279e-09	0.490990141065886	0.00301000241741148	kgtP	CP037923.1	alpha-ketoglutarate permease	CDS
EKN05_000460	2.82588041212722	2.11767244856317e-09	0.869537636700676	1.00002721747299e-07	hybA	CP037923.1	hydrogenase 2 operon protein HybA	CDS
EKN05_000520	-2.43232683993721	2.16142224896091e-09	0.261063286278335	0.172103400058924	glcC	CP037923.1	transcriptional regulator GlcC	pseudo
EKN05_011165	1.97092804548311	2.25123235782087e-09	-0.137517491879822	0.017576728179086	pgaA	CP037923.1	poly-beta-1	pseudo
EKN05_024730	4.27415114266835	2.25123235782087e-09	0.100494727207386	0.0322920192229438	mxiG	CP037924.1	protein MxiG	CDS
EKN05_013485	1.91154657474669	2.33811491400877e-09	0.576759825209813	0.0188955899364463	ybgE	CP037923.1	cyd operon protein YbgE	CDS
EKN05_018990	2.01812201409453	2.48975371243364e-09	0.0201775513021219	0.796945459700821	gadW	CP037923.1	acid resistance transcriptional activator GadW	CDS
EKN05_021645	3.41775000665263	2.70628696107782e-09	-0.0422694654822174	0.837684147523023	nikB	CP037923.1	nickel ABC transporter permease subunit NikB	CDS
EKN05_004735	-5.30402169787015	2.748267595733e-09	1.22454995112745	2.05000467935776e-13	mglB	CP037923.1	galactose/glucose ABC transporter substrate-binding protein MglB	CDS
EKN05_000705	-1.66942368500361	2.75133142040852e-09	0.327825268851242	0.00741377298300355	galP	CP037923.1	sugar porter family MFS transporter	CDS
EKN05_010270	-2.74131371213892	2.91980612294972e-09	-0.684192315001469	0.1922518566818	EKN05_010270	CP037923.1	hypothetical protein	CDS
EKN05_021630	2.88374799609164	2.91980612294972e-09	1.8351261824432	9.04978019505242e-15	nikE	CP037923.1	nickel import ATP-binding protein NikE	CDS
EKN05_011100	2.17748135068604	2.9814594132095e-09	0.293933263755757	0.0163581523857469	EKN05_011100	CP037923.1	curli production assembly/transport protein CsgG	pseudo
EKN05_012180	-2.87500061829224	3.23402459521362e-09	1.15674531296581	4.4646504762338e-08	potG	CP037923.1	putrescine ABC transporter ATP-binding subunit PotG	pseudo
EKN05_024050	4.00884240358009	3.31548192264963e-09	0.0917145061390277	0.486845228274421	EKN05_024050	CP037924.1	DUF3440 domain-containing protein	pseudo
EKN05_024790	3.76126302325129	3.48910457358972e-09	-0.622252559648713	6.82634899542924e-15	ipaA	CP037924.1	invasin IpaA	CDS
EKN05_008090	1.87934262396965	3.55164479024011e-09	-0.160343413885146	0.427520489862377	clcB	CP037923.1	voltage-gated ClC-type chloride channel ClcB	CDS
EKN05_018585	-1.73081539080079	3.71139144604108e-09	0.487171955077092	0.00397373245106783	yjaE	CP037923.1	sigma D regulator	CDS
EKN05_003960	-2.93507853362006	4.4881085785475e-09	0.168764867338222	0.465733444698571	argT	CP037923.1	lysine/arginine/ornithine ABC transporter substrate-binding protein ArgT	pseudo
EKN05_018745	-1.69362054893772	4.64619551184115e-09	1.16215610555178	0.0811452753743688	udhA	CP037923.1	Si-specific NAD(P)(+) transhydrogenase	CDS
EKN05_021400	2.30587400621466	4.93272226861662e-09	0.392288330412024	7.65519989768913e-06	hdeD	CP037923.1	HdeD family acid-resistance protein	CDS
EKN05_021780	-2.08990937659626	4.95601788621515e-09	0.892763406650675	0.00153277047777048	ugpC	CP037923.1	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	CDS
EKN05_024695	5.60846774683469	4.95601788621515e-09	-0.161901466245253	0.0988206492001658	mxiM	CP037924.1	AraC family transcriptional activator MxiE	CDS
EKN05_021635	3.36574088210562	5.06765377962762e-09	-0.154173116163748	0.393843645855065	nikD	CP037923.1	nickel import ATP-binding protein NikD	CDS
EKN05_024685	3.29209698134141	5.42612980985365e-09	0.166183647385035	0.000646468669387532	mxiD	CP037924.1	EscC/YscC/HrcC family type III secretion system outer membrane ring protein	CDS
EKN05_023920	3.92256515717755	5.44801848972078e-09	0.218335629431794	0.00165238203507574	EKN05_023920	CP037924.1	hypothetical protein	CDS
EKN05_008775	-2.93041066828138	5.44801848972078e-09	0.238855729137817	0.27486196658021	astD	CP037923.1	succinylglutamate-semialdehyde dehydrogenase	CDS
EKN05_019330	2.03460877920702	5.53600099399979e-09	-1.00754563813822	4.92662930549259e-10	gpmM	CP037923.1	2	CDS
EKN05_024665	4.66200100689864	6.15525394130254e-09	0.0121714499885801	0.859472993133638	spa47	CP037924.1	FliI/YscN family ATPase	CDS
EKN05_013100	-2.692557072104	6.15525394130254e-09	1.33334699303635	1.11567381810926e-11	gltK	CP037923.1	glutamate/aspartate ABC transporter permease GltK	CDS
EKN05_021300	-2.47172482292196	6.19551012846403e-09	0.0550975510029529	0.785008355488651	EKN05_021300	CP037923.1	hypothetical protein	CDS
EKN05_013475	1.93037919277274	6.23156368513106e-09	NA	NA	cydB	CP037923.1	cytochrome d ubiquinol oxidase subunit II	CDS
EKN05_024840	3.52304986732909	6.43127989028663e-09	-0.522018613913092	5.51473925197896e-09	ospC3	CP037924.1	hypothetical protein	CDS
EKN05_024115	2.35425953152127	7.01400553677493e-09	-0.270188270384991	0.00259722378972485	ipaH1.4	CP037924.1	E3 ubiquitin--protein ligase	CDS
EKN05_004485	2.6462300871273	7.14467025214986e-09	-0.779364412787297	0.0210811520620408	ccmB	CP037923.1	heme exporter protein CcmB	CDS
EKN05_004480	1.82035190460805	7.27365909741958e-09	1.59506566568854	1.10923694100181e-07	ccmA	CP037923.1	cytochrome c biogenesis heme-transporting ATPase CcmA	CDS
EKN05_019930	-3.57040201936152	7.34931074602978e-09	-0.164384696151302	0.0140186518687102	tnaA	CP037923.1	tryptophanase	CDS
EKN05_024585	2.77920806855194	7.55940587403316e-09	-0.688543306985794	0.00121897120565899	pWR501_0174	CP037924.1	IS3 family transposase	pseudo
EKN05_010120	1.94013162613528	7.57925290634215e-09	3.92646166891903	0.0171188163909846	prmC	CP037923.1	peptide chain release factor N(5)-glutamine methyltransferase	CDS
EKN05_004265	2.38712584503339	8.58661941887053e-09	0.438906958587119	0.00439532593326243	glpC	CP037923.1	anaerobic glycerol-3-phosphate dehydrogenase subunit C	CDS
EKN05_021415	3.16077757910529	8.80576480368009e-09	-0.613020230125953	5.20174012009115e-08	EKN05_021415	CP037923.1	MgtC/SapB family protein	pseudo
EKN05_004080	-1.66703563689923	9.39723419028708e-09	0.153473354070146	0.820167942001003	nuoC	CP037923.1	NADH-quinone oxidoreductase subunit C/D	CDS
EKN05_009655	-3.49230959668257	9.41975373878639e-09	-0.380586533730736	0.628522304242243	EKN05_009655	CP037923.1	hypothetical protein	CDS
