locus_tag,com_id,description,type,length,n_TIS,n_nz,log2CPM,log2FC,z,FDR
EKN05_000195,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY,CDS,619,7,3,9.32653573278254,0.12530311373385,0.116335006414562,0.898677747570916
EKN05_000205,bacA,undecaprenyl-diphosphate phosphatase,CDS,823,12,6,11.6495292184247,1.42655993955166,1.54174709752156,0.862658322184892
EKN05_000215,ygiM,SH3 domain-containing protein,CDS,622,8,1,9.49530879336371,1.15752184024156,0.61609151780819,0.986103301797742
EKN05_000220,EKN05_000220,inorganic triphosphatase,CDS,1303,12,9,9.56283177683343,-0.51791381407625,-0.857470325379444,0.768267852543505
EKN05_000225,glnE,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,CDS,2842,19,14,10.6343543756022,-0.195262281656637,-0.435283366167679,0.851390965729427
EKN05_000245,EKN05_000245,hypothetical protein,CDS,910,7,3,9.38236481403642,-1.05458194233654,-1.28773506477082,0.654687843560982
EKN05_000265,EKN05_000265,accessory factor UbiK family protein,CDS,292,8,5,5.69398948924432,-1.87322409499105,-2.41988449228051,0.203860941284425
EKN05_000270,ribB,3,CDS,655,13,7,8.93927103066294,0.83879371698565,1.40272495772221,0.902558094845721
EKN05_000275,zupT,zinc transporter ZupT,CDS,775,21,14,10.6414440191792,-0.245876351776145,-0.753371161906328,0.798180653303106
EKN05_000280,ygiD,4,CDS,817,13,11,9.47204664284014,-0.317501832471159,-0.602790606565222,0.827608097587013
EKN05_000285,ygiC,glutathionylspermidine synthase family protein,CDS,1162,19,12,9.14548427603552,-0.689510847629665,-1.47780933718069,0.574783589037653
EKN05_000290,EKN05_000290,DUF1190 family protein,CDS,673,20,18,10.0981061741214,-0.197972384290947,-0.456105294107624,0.855123591185248
EKN05_000295,tolC,outer membrane channel protein TolC,CDS,1483,23,0,1.64376721340571,-16.9978329717538,-6.03905417542897,9.62252633414604e-08
EKN05_000300,nudF,ADP-ribose diphosphatase,CDS,631,15,8,9.45407954382159,-0.506466750274316,-0.948791849596303,0.750043737190298
EKN05_000305,EKN05_000305,DUF1249 family protein,CDS,424,5,3,10.0302092784529,-0.826582746159566,-0.912240239982961,0.752069051863297
EKN05_000310,cpdA,3',CDS,829,14,8,12.322449761677,-1.49920540564058,-3.58961264594469,0.0111207871266412
EKN05_000315,yqiA,esterase YqiA,CDS,583,6,5,12.4869675535163,0.146965901120318,0.177464152444204,0.908344987652218
EKN05_000325,EKN05_000325,antibiotic biosynthesis monooxygenase,CDS,316,6,4,5.78583932495726,-0.540528058842184,-0.626702441828524,0.821300569612433
EKN05_000330,mdaB,NADPH:quinone oxidoreductase MdaB,CDS,583,22,14,11.0377024113562,-0.3065654827137,-0.960417664264105,0.751626800919904
EKN05_000335,EKN05_000335,DUF2645 family protein,CDS,334,10,5,8.51600488194965,0.401064171934489,0.493039522813082,0.961583952291118
EKN05_000340,qseC,two-component system sensor histidine kinase QseC,CDS,1351,32,22,9.44492080454626,-0.235007087338087,-0.780806243582936,0.792600426497439
EKN05_000345,qseB,two-component system response regulator QseB,CDS,661,12,7,11.0372350081794,0.81094465326385,1.15055086780449,0.96145836126399
EKN05_000350,ygiW,OB fold stress tolerance protein YgiW,CDS,394,17,14,10.3495958485927,-0.0156069306828326,-0.0363271975970244,0.889552936603945
EKN05_000355,EKN05_000355,AraC family transcriptional regulator,CDS,484,6,2,8.68145152056308,-2.29517632707505,-1.80941835552073,0.444996145968345
EKN05_000370,ftsP,cell division protein FtsP,CDS,1414,15,7,10.1781063220777,-1.06289258711958,-1.71026918302298,0.490806249725694
EKN05_000375,EKN05_000375,radical SAM protein,pseudo,842,11,5,10.928794770053,-0.644535551077472,-0.918922629356596,0.750108251214274
EKN05_000380,EKN05_000380,DUF3362 domain-containing protein,pseudo,1057,13,8,10.1693279972868,-0.0378201783621522,-0.0559590265307022,0.887523364826516
EKN05_000385,yqhH,lipoprotein YqhH,CDS,259,7,6,8.17775201092553,-0.607038464269726,-0.825176799158681,0.784973009143528
EKN05_000390,EKN05_000390,DUF3828 domain-containing protein,CDS,928,27,16,10.8778108349807,-1.22121754764433,-3.61327323737085,0.0104973829847148
EKN05_000395,dkgA,2,CDS,829,21,12,10.5901050943253,0.428784114450129,0.912445040704298,0.99224444880728
EKN05_000400,yqhD,alcohol dehydrogenase,CDS,1165,10,6,11.5073953228479,0.098253519468958,0.134519246138577,0.899819562549824
EKN05_000405,EKN05_000405,AraC family transcriptional regulator,pseudo,957,10,6,9.02710668968837,0.346874382156138,0.471413880762116,0.951087671467415
EKN05_000410,EKN05_000410,DedA family protein,CDS,661,13,7,6.49925806500798,-0.693297200764478,-1.11139806864404,0.712386035889873
EKN05_000415,metC,cystathionine beta-lyase,CDS,1189,13,10,8.75819685647774,-0.315628492960565,-0.593672820777176,0.83128789188309
EKN05_000420,exbB,biopolymer transporter ExbB,CDS,736,8,1,8.07192837605288,3.36693283252585,1.45738223267396,0.901981342706282
EKN05_000425,exbD,TonB system transport protein ExbD,CDS,427,8,0,2.80316337988739,-1.42834888140236,-0.188871285708424,0.874704557215825
EKN05_000430,yghA,NADP(+)-dependent aldehyde reductase,CDS,886,18,10,10.6225114608476,-0.205898550845591,-0.443983763642052,0.850764901762056
EKN05_000435,EKN05_000435,TIGR00645 family protein,CDS,496,4,3,9.9674572609687,0.907766081500469,0.869182622693705,0.998317866063909
EKN05_000440,EKN05_000440,L-glyceraldehyde 3-phosphate reductase,CDS,1042,16,9,10.1393163540666,0.336424220627459,0.658807007299416,0.988191021795924
EKN05_000445,yghYX,dienelactone hydrolase family protein,CDS,889,18,7,10.8627997689572,0.103709936383104,0.151737203498678,0.90390859969391
EKN05_000450,EKN05_000450,DUF2623 domain-containing protein,CDS,289,27,14,10.3245527331509,0.579411575584223,1.15834237958377,0.968775142434595
EKN05_000455,hybO,hydrogenase 2 small subunit,CDS,1120,19,12,9.60694625581834,0.635370830830225,1.22159712549394,0.994336254449726
EKN05_000460,hybA,hydrogenase 2 operon protein HybA,CDS,988,19,12,9.59710346719891,-0.601466054674293,-1.24519833406974,0.672464958780367
EKN05_000465,hybB,Ni/Fe-hydrogenase cytochrome b subunit,CDS,1180,18,11,10.0128148284225,-0.51595174882064,-1.06983322620082,0.726236582052532
EKN05_000470,hybC,hydrogenase 2 large subunit,CDS,1705,20,13,9.36420601363577,-0.263026389074712,-0.720017878812255,0.798882756161269
EKN05_000475,hybD,HyaD/HybD family hydrogenase maturation endopeptidase,CDS,496,5,5,11.1244448764777,-0.129686886885095,-0.184277786543946,0.87533272404471
EKN05_000480,hybE,hydrogenase-2 assembly chaperone,CDS,490,3,2,10.4053577713302,-1.09322164361666,-0.944324760678514,0.751015529395967
EKN05_000485,hypA,hydrogenase maturation nickel metallochaperone HypA,CDS,343,3,1,10.9219225813648,0.165570175020101,0.0780173648978629,0.897429572059422
EKN05_000490,hybG,hydrogenase 2 maturation protein,CDS,250,3,2,8.89804649155566,-0.00624412119299631,-0.00461517392165002,0.898660082669758
EKN05_000495,yghU,glutathione-dependent disulfide-bond oxidoreductase,CDS,868,13,8,10.8044879971883,-0.746813251958733,-1.32455981216972,0.645584587236831
EKN05_000500,gsp,bifunctional glutathionylspermidine amidase/synthase,CDS,1861,34,21,10.6537011711057,0.137995511895078,0.513851115842936,0.972866049941419
EKN05_000505,EKN05_000505,inorganic phosphate transporter,pseudo,268,26,15,10.4700408540189,0.371766642391636,0.800219056492017,1.0050490496507
EKN05_000515,EKN05_000515,N-acetyltransferase,pseudo,1143,24,17,10.7819654737832,-0.22322892502427,-0.547138876320258,0.839302919760741
EKN05_000520,glcC,transcriptional regulator GlcC,pseudo,779,10,6,10.0550142306579,0.227725805466721,0.320041989230594,0.936944901915751
EKN05_000525,glcD,glycolate oxidase subunit GlcD,pseudo,1501,21,14,9.34476528636355,0.22131446870501,0.568425618357005,0.972293460792081
EKN05_000530,glcE,glycolate oxidase subunit GlcE,CDS,1054,16,12,9.01260259273795,-0.816845997328606,-1.99754421789115,0.36620027768556
EKN05_000535,glcF,glycolate oxidase subunit GlcF,pseudo,1221,11,8,10.2547657968827,-0.520610211107671,-1.09054403201819,0.71791355859606
EKN05_000540,EKN05_000540,protein GlcG,CDS,406,4,2,10.2604326529231,-0.294780828272199,-0.256348472616617,0.869596243176017
EKN05_000545,glcB,malate synthase G,CDS,2173,41,22,11.093898743542,0.560981146436867,1.6177021611312,0.818214787998545
EKN05_000550,yghK,glycolate permease glcA,CDS,1597,66,42,9.32034294082411,-0.473637503271367,-1.9543493474536,0.387208108951789
EKN05_000555,EKN05_000555,hypothetical protein,CDS,181,9,5,9.16104799484059,2.18943399405309,2.29692926097221,0.32706950374901
EKN05_000565,EKN05_000565,hypothetical protein,CDS,247,6,4,9.98182760724357,0.484413713879287,0.501695502920688,0.965606794585727
EKN05_000575,yqgA,DUF554 domain-containing protein,CDS,709,14,8,3.33742586612978,-0.153636922989388,-0.271383755348781,0.873705279879158
EKN05_000580,speC,ornithine decarboxylase,pseudo,2136,15,13,10.3307682338985,-0.152038416884084,-0.327119321201801,0.863460564259041
EKN05_000585,nupG,nucleoside permease,CDS,1258,29,15,10.929578254809,0.508581741204259,1.21845633354843,0.992985503220646
EKN05_000590,mltC,membrane-bound lytic murein transglycosylase MltC,CDS,1081,12,8,9.5730924776425,-0.268877960160558,-0.450121471225711,0.851485769137466
EKN05_000600,mutY,adenine DNA glycosylase,CDS,1054,11,7,8.82365299652497,-0.677295548718458,-0.991618892652688,0.743866552775253
EKN05_000605,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,CDS,721,12,7,10.8581128228939,0.0922320710420479,0.15149294544329,0.903409019875812
EKN05_000615,EKN05_000615,DUF2884 family protein,CDS,721,14,8,9.7138702774161,0.0869207892490151,0.199687559373744,0.913882604371749
EKN05_000620,ansB,L-asparaginase 2,CDS,1048,28,15,9.57884466198882,-0.170357758513292,-0.419238911523185,0.853025961915204
EKN05_000625,yggM,DUF1202 family protein,CDS,1009,112,66,9.81680220930451,-0.0181046686071239,-0.095668624562545,0.879720434724483
EKN05_000630,EKN05_000630,TRAP transporter large permease subunit,CDS,1303,117,54,10.4460687612558,0.440303313004107,1.70678101162271,0.721939036350548
EKN05_000635,EKN05_000635,TRAP transporter small permease,CDS,505,44,31,7.63816314497956,0.312116973231041,1.01503101072709,0.971205154365572
EKN05_000640,EKN05_000640,TRAP transporter substrate-binding protein,pseudo,965,137,85,10.2801688396305,0.106406549818782,0.577819562086162,0.980291547193783
EKN05_000645,hemW,radical SAM family heme chaperone HemW,CDS,1138,43,25,8.00093610395639,0.132270465164319,0.374081024958166,0.937253226212541
EKN05_000650,yggV,XTP/dITP diphosphatase,CDS,595,7,3,10.2209466993824,0.163807923027656,0.136322658970152,0.901796188878064
EKN05_000655,EKN05_000655,YggU family protein,CDS,292,3,1,10.8719437702228,1.04999417210651,0.524202446917006,0.973012600023362
EKN05_000660,yggT,osmotic shock tolerance protein YggT,CDS,568,10,7,8.33764603949533,-0.12226912606286,-0.186311264239062,0.87457307701147
EKN05_000665,yggS,pyridoxal phosphate homeostasis protein,CDS,706,7,4,8.99695744127154,-0.981699152913386,-1.04341164207335,0.737716552940305
EKN05_000670,yggR,type IV pilus twitching motility protein PilT,CDS,982,11,8,9.05828535836158,-0.0383691238252103,-0.0582743681777945,0.887823192795264
EKN05_000685,gshB,glutathione synthase,CDS,952,3,1,7.96282632478087,0.834415137536552,0.375019538920766,0.937261198635543
EKN05_000690,rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase,CDS,733,4,4,8.81001958892315,-0.785522202600825,-0.962407439510317,0.750212489788423
EKN05_000695,endA,deoxyribonuclease I,CDS,709,4,2,11.3367055942996,-0.228063396106289,-0.16973589497795,0.876081181766761
EKN05_000700,EKN05_000700,SprT family zinc-dependent metalloprotease,CDS,499,6,4,10.2939643133137,-0.282976697447645,-0.318120920552389,0.867930808372763
EKN05_000705,galP,sugar porter family MFS transporter,CDS,1396,18,12,8.9080462803964,0.541703133952988,1.4532516133201,0.904862627444358
EKN05_000715,EKN05_000715,DUF2684 family protein,CDS,253,3,2,9.84527396472964,-0.524483125944937,-0.455732249626937,0.854377139010651
EKN05_000720,EKN05_000720,hypothetical protein,CDS,217,3,2,9.32586518085857,-1.29999446765703,-1.05313138709568,0.736418140876173
EKN05_000725,EKN05_000725,virulence promoting factor,CDS,133,7,4,9.12572377131444,-1.91638231713924,-2.08145066238124,0.34194266366494
EKN05_000730,speA,biosynthetic arginine decarboxylase,CDS,1978,42,29,9.60240703298027,-0.309963750882514,-1.01281841522201,0.741971264330182
EKN05_000740,EKN05_000740,hypothetical protein,pseudo,385,3,2,9.56246006834574,-0.779571806904679,-0.543383603800337,0.840654353287499
EKN05_000745,speB,agmatinase,CDS,922,14,7,8.56350050991245,-0.246261551352062,-0.390783828622884,0.853651723826291
EKN05_000750,EKN05_000750,metalloprotease,CDS,760,10,7,10.2660320462957,-0.154270987459859,-0.27355926011295,0.874693947426866
EKN05_000760,EKN05_000760,prohibitin family protein,CDS,910,21,14,11.2449975452748,0.0157947695771563,0.0367298580290278,0.903565947098337
EKN05_000775,EKN05_000775,L-sorbose 1-phosphate reductase,CDS,1252,38,27,9.46826139720166,-0.255675136493863,-0.75449912488603,0.798361367231886
EKN05_000780,yggF,class II fructose-bisphosphatase,CDS,967,7,4,11.5631310941546,-0.457503123281586,-0.556046207069673,0.838175804059861
EKN05_000785,fumE,fumarase E,CDS,511,4,2,3.61219700646892,-0.872024033209966,-0.60791492809831,0.826731650069124
EKN05_000790,frcK,nucleoside/nucleotide kinase family protein,CDS,715,10,7,8.53858874662419,-0.180349143018968,-0.265536928394142,0.872552032055921
EKN05_000795,EKN05_000795,sulfate/molybdate ABC transporter ATP-binding protein,CDS,679,8,4,9.77617149484896,-0.177980959109349,-0.201448668900578,0.873347720665448
EKN05_000800,EKN05_000800,energy-coupling factor ABC transporter ATP-binding protein,CDS,679,9,6,11.0052902741088,-0.421223671088351,-0.661628712111007,0.813929420679523
EKN05_000805,EKN05_000805,energy-coupling factor transporter transmembrane protein EcfT,CDS,385,6,5,11.7215326849626,1.04140725122314,1.24318579513374,1.00207165257504
EKN05_000815,EKN05_000815,ECF transporter S component,CDS,580,7,6,13.2220305410656,0.848626405036829,1.24772595246496,0.997767319922906
EKN05_000820,EKN05_000820,DUF296 domain-containing protein,CDS,433,7,4,8.78157644950373,-2.3755993621294,-2.62833244748632,0.147699303516801
EKN05_000825,epd,erythrose-4-phosphate dehydrogenase,CDS,1021,18,7,8.6472485494424,-0.521837223239947,-0.819010306114559,0.788014580564349
EKN05_000840,mscS,small-conductance mechanosensitive channel MscS,CDS,862,39,13,8.51363154595848,0.351869713735216,0.723662458661823,0.994664445561922
EKN05_000845,argO,arginine exporter ArgO,CDS,637,14,12,8.89533111830808,-1.26777764469894,-2.84717032791972,0.0941191890731485
EKN05_000850,EKN05_000850,oxidative stress defense protein,CDS,742,9,6,8.51638396875036,0.686372264568211,1.05693777449882,0.966844442498269
EKN05_000855,EKN05_000855,LysR family transcriptional regulator,CDS,424,27,15,10.1648385599803,-0.286033046891769,-0.668443822925939,0.812666941686802
EKN05_000860,EKN05_000860,hypothetical protein,CDS,520,24,15,9.16946975274604,0.265314503409562,0.521641499349541,0.971170500774793
EKN05_000865,scpC,propionyl-CoA:succinate CoA transferase,CDS,1480,20,15,9.65614292703282,-0.570016745477954,-1.55225590855724,0.553899316705941
EKN05_000870,scpB,methylmalonyl-CoA decarboxylase,CDS,787,8,6,10.0981536417425,-0.166886634244913,-0.24470286875034,0.869235476152913
EKN05_000875,meaB,methylmalonyl Co-A mutase-associated GTPase MeaB,CDS,997,13,8,8.78313620495627,0.0887262499579357,0.141117051704274,0.904147356156578
EKN05_000880,scpA,methylmalonyl-CoA mutase,CDS,2146,25,16,5.41752843033784,-0.361748568027703,-0.838310464546631,0.779510007821879
EKN05_000885,iciA,LysR family transcriptional regulator ArgP,CDS,895,11,8,10.9528553886448,0.0637966960556304,0.11194046537957,0.900118686672025
EKN05_000895,serA,D-3-phosphoglycerate dehydrogenase,CDS,1234,17,13,9.13547595879204,0.356367315525187,0.775672432593107,0.999905928690936
EKN05_000910,ygfA,5-formyltetrahydrofolate cyclo-ligase,CDS,604,8,6,10.2333246178662,0.280051633252243,0.383283624403724,0.940361801072615
EKN05_000920,zapA,cell division protein ZapA,CDS,331,5,3,9.43725274896038,-0.00951482626629488,-0.0102176753372424,0.898584987856908
EKN05_000925,ygfB,UPF0149 family protein YgfB,CDS,580,15,10,9.1080429082041,-0.431450936233213,-0.833096331076012,0.782238359184778
EKN05_000930,pepP,Xaa-Pro aminopeptidase,CDS,1327,11,3,4.58890204337309,0.408587826572725,0.343889753414212,0.936419495195494
EKN05_000940,ubiI,FAD-dependent 2-octaprenylphenol hydroxylase,CDS,1204,15,6,5.50720911704446,1.19150668597227,1.46537697361762,0.896722489735374
EKN05_000950,gcvT,glycine cleavage system aminomethyltransferase GcvT,CDS,1096,23,12,10.3609488831761,-0.758526492995711,-1.95181703331635,0.388053246037149
EKN05_000960,gcvP,aminomethyl-transferring glycine dehydrogenase,CDS,2875,24,14,10.6526790764393,-0.545948985458324,-1.57432491834413,0.544725026429947
EKN05_000965,EKN05_000965,SDR family oxidoreductase,pseudo,745,20,14,8.86591399796584,0.114397709785018,0.253321179441798,0.929237925963033
EKN05_000970,bglA,6-phospho-beta-glucosidase,pseudo,1434,23,14,8.00892615675413,-0.233380448679485,-0.561305650784708,0.839506773816604
EKN05_000975,EKN05_000975,ASCH domain-containing protein,pseudo,312,6,5,9.3971835183302,-0.532425162145031,-0.757581973231237,0.79784695515333
EKN05_000980,EKN05_000980,hemolysin III family protein,CDS,661,7,4,9.17021408518882,0.397409104048397,0.538675658685552,0.972148905762533
EKN05_000995,EKN05_000995,hypothetical protein,CDS,409,6,6,9.6952859631426,-0.00496173842505086,-0.00671468013970164,0.900320679770482
EKN05_001000,fldB,flavodoxin FldB,CDS,523,4,0,3.69588944000636,-4.25510639402352,-0.517201701912656,0.843644296687744
EKN05_001005,xerD,tyrosine recombinase XerD,CDS,898,10,4,5.85175640733205,0.873115432008399,0.721771727132244,0.990816152732528
EKN05_001010,dsbC,bifunctional protein-disulfide isomerase/oxidoreductase DsbC,CDS,712,10,6,9.17216822466961,-0.149546161200948,-0.240365112767649,0.868289235186544
EKN05_001015,recJ,single-stranded-DNA-specific exonuclease RecJ,CDS,1735,20,13,9.69751683581938,-0.345038552716607,-0.704497990225432,0.798001409869277
EKN05_001030,EKN05_001030,isopentenyl-diphosphate Delta-isomerase,CDS,550,9,4,11.6201660205735,-0.274212325074245,-0.335967961287358,0.862546155914386
EKN05_001040,EKN05_001040,hypothetical protein,CDS,127,9,3,9.91331820815251,-0.189961820076411,-0.193571928043367,0.874870483085804
EKN05_001045,ygfU,purine permease,CDS,1450,58,33,10.4497036861505,-0.285481937386149,-0.972652933814469,0.745279185254338
EKN05_001055,xdhC,xanthine dehydrogenase iron sulfur-binding subunit XdhC,CDS,481,7,4,10.878242278444,-0.860108093519744,-0.88667669608194,0.761811914168862
EKN05_001060,xdhB,xanthine dehydrogenase FAD-binding subunit XdhB,CDS,880,4,4,9.29151735342098,-0.402894230593856,-0.51523606518396,0.843262269032212
EKN05_001065,xdhA,xanthine dehydrogenase molybdenum-binding subunit XdhA,pseudo,2298,43,27,8.67064932600661,-0.198087078546698,-0.780820281379756,0.793291152828233
EKN05_001075,EKN05_001075,LysM peptidoglycan-binding domain-containing protein,CDS,757,15,8,9.99773470751057,-0.143294097971751,-0.284321141299718,0.875010965006004
EKN05_001085,EKN05_001085,hypothetical protein,pseudo,547,48,27,5.69218962195503,0.195980743787,0.723367317956595,0.99188975388339
EKN05_001095,EKN05_001095,hypothetical protein,CDS,190,19,9,6.15284713818221,1.44917995509776,2.13222552715812,0.385181935323718
EKN05_001100,EKN05_001100,HAAAP family serine/threonine permease,pseudo,1226,140,87,10.4479385990415,0.376601834821175,1.74623563817587,0.712006399411145
EKN05_001105,yqeF,acetyl-CoA C-acetyltransferase,CDS,1183,27,17,10.6802889090307,-0.247494334264502,-0.639866912683147,0.817886540150405
EKN05_001110,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,CDS,838,67,42,10.1574823677005,-0.343041862780016,-1.36742706441369,0.627291349596426
EKN05_001115,kduD,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,CDS,763,28,15,9.61414565441302,0.0287555811507428,0.073540807630165,0.896968711770933
EKN05_001120,araE,MFS transporter,CDS,1420,35,21,11.2519410870157,-0.144728281111899,-0.418628388468837,0.852537944945559
EKN05_001125,ygeA,aspartate/glutamate racemase,CDS,694,16,12,10.4477786480553,0.86339599551793,2.72231002607143,0.126899428051149
EKN05_001130,lysR,LysR family transcriptional regulator,CDS,937,12,9,8.04854985911599,-0.29587006302807,-0.472804663175398,0.848635779304255
EKN05_001135,lysA,diaminopimelate decarboxylase,CDS,1264,16,11,9.20917167453157,-1.08828546253426,-1.93297953737753,0.398007997159375
EKN05_001140,galR,HTH-type transcriptional regulator GalR,CDS,1033,12,7,9.10129741306448,-0.955892945369485,-1.56314345343093,0.544481591158035
EKN05_001145,aas,bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase,CDS,2161,35,24,10.6868192836439,-0.81793883882208,-2.83253692313371,0.0975212248907508
EKN05_001150,lplT,lysophospholipid transporter LplT,pseudo,1193,20,12,9.87846998529846,-0.533801493214039,-1.22334158287427,0.678304684479615
EKN05_001155,tas,NADP(H)-dependent aldo-keto reductase,CDS,1042,25,16,8.70083138520579,0.560246814661054,1.41787830928068,0.908090929169786
EKN05_001160,ygdR,lipoprotein YgdR,CDS,220,4,3,10.7104153102449,-0.340569804827453,-0.354826703877769,0.860208287741452
EKN05_001165,EKN05_001165,TerC family protein,CDS,715,9,7,8.91814672670979,-0.836434910593797,-1.28507529410792,0.655639647622153
EKN05_001170,mutH,DNA mismatch repair endonuclease MutH,CDS,691,7,4,10.2697058841924,0.675181279136035,0.968439448651042,0.96309409902316
EKN05_001185,ptsP,phosphoenolpyruvate--protein phosphotransferase,CDS,2248,18,13,12.0613463528675,0.015321637738497,0.0395921697866314,0.904604603086332
EKN05_001200,EKN05_001200,prepilin peptidase-dependent protein,pseudo,472,9,6,9.14665664773148,-0.359673251211384,-0.496803645742749,0.85028853905788
EKN05_001205,EKN05_001205,prepilin peptidase-dependent protein,CDS,565,11,8,11.376369954003,0.675711469563562,1.00321917206222,0.972920477751862
EKN05_001225,ptr,pitrilysin,CDS,2890,46,29,8.47123570535072,-0.240849280906167,-0.795910055825108,0.788429189641236
EKN05_001235,recD,exodeoxyribonuclease V subunit alpha,CDS,1828,13,5,8.38455101518266,-0.219198035080026,-0.307386516102097,0.871948463204133
EKN05_001240,argA,amino-acid N-acetyltransferase,CDS,1333,11,8,10.1694854172678,-1.08069472257663,-1.63797812565206,0.518108590416502
EKN05_001245,EKN05_001245,N-acetylmuramoyl-L-alanine amidase,CDS,1255,13,11,10.2927098333376,-0.875229701590821,-1.70631178822572,0.488230002798908
EKN05_001260,mltA,murein transglycosylase A,CDS,1099,16,10,9.33889510442572,-0.0227794333481163,-0.0496171426261017,0.888590633034453
EKN05_001265,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,CDS,808,5,4,10.7411013805461,0.80417697082704,0.714366760988025,0.991023603409711
EKN05_001270,csdE,cysteine desulfurase sulfur acceptor subunit CsdE,CDS,445,8,4,10.1283005337272,-0.733081680559552,-0.869047524506035,0.766797293032823
EKN05_001275,csdA,cysteine desulfurase CsdA,CDS,1207,14,7,8.64535913683722,0.518374755141814,0.769016357242762,0.99693433932117
EKN05_001280,EKN05_001280,YgdI/YgdR family lipoprotein,CDS,184,5,3,11.3197445888102,1.64995261046307,1.42615957279338,0.910012644576441
EKN05_001285,gcvA,transcriptional regulator GcvA,CDS,919,13,6,8.89714889358807,0.404634120813168,0.471755959954296,0.951790265422153
EKN05_001290,EKN05_001290,DUF423 domain-containing protein,CDS,397,6,3,8.77729648214378,0.259941907077292,0.280194594197846,0.936248903827856
EKN05_001295,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,CDS,1102,12,5,10.4223503053879,-0.679541824897122,-0.87233939308456,0.766945094726613
EKN05_001300,fucR,L-fucose operon activator,CDS,733,3,2,10.972852526784,0.576061637699279,0.46947136950366,0.949963303574296
EKN05_001310,fucK,L-fuculokinase,pseudo,1421,27,24,8.83234552734313,-0.125669414004731,-0.441962191426361,0.851044374143514
EKN05_001315,fucI,L-fucose isomerase,CDS,1777,33,25,10.4521903215487,0.43514639958045,1.19725919658726,0.983251432670308
EKN05_001320,fucP,L-fucose:H+ symporter permease,CDS,1318,60,34,10.1641451914147,0.720608860583547,2.54899050209418,0.196994125097289
